D88,D27,D14,D33,D36,D45,D57,D63,D54
-177.4053,-87.4971,-176.4248,79.7733,-173.6268,70.3367,64.6159,68.3614,-168.7675
-173.4139,87.2378,-158.5072,-101.9389,-160.04,66.3038,58.1895,64.5456,-166.4564
175.1635,92.1929,-2.0682,-176.4596,-179.9877,-51.0773,-72.7142,-41.5012,-47.7665
177.4179,92.2607,-1.4855,-177.1223,-66.4726,-71.8549,123.02,-63.66,-64.8161
-176.8709,86.4736,177.3892,-176.3195,-179.6263,-51.1689,-72.9522,-41.4452,-47.3988
-177.1242,86.2631,178.764,-177.3259,-164.3976,65.8571,63.8192,141.6827,-170.5343
-172.566,-92.6715,-2.6178,-175.6694,-61.4908,-80.4598,133.691,164.0192,80.3848
-176.3248,-92.052,-3.5395,87.6473,173.2247,71.3798,92.9298,-56.5282,-44.5731
173.6079,-90.7628,1.4111,81.2916,-173.7487,70.3416,64.6988,68.5718,-171.1555
175.8194,-90.6845,27.2928,-98.6383,-151.5234,62.8855,85.7924,71.0585,72.722
-175.6503,86.2712,177.959,-177.3028,-66.5337,64.9252,92.0968,-56.6733,77.8195
-175.7649,-92.3542,-2.8535,-176.2708,-66.3255,-71.827,123.0551,-63.6878,-64.9977
177.6598,-86.3462,-177.7515,176.4464,47.4629,54.4534,73.5915,151.5421,174.6569
176.846,-87.4463,143.9494,113.0705,87.5338,-44.8911,-74.3016,-176.2902,45.5538
175.4581,90.17,28.9466,-100.0387,-152.6221,63.1846,86.057,71.217,72.639
-176.2319,-92.1217,-2.0522,-177.8418,178.0663,61.7265,108.9367,168.7641,-49.1451
