10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
-3.603384,-0.557228,0.420485,-4.896957,0.113785,0.487931,-6.078174,-0.739270,0.292091,-4.973888,0.570839,1.395328,
3.579673,-0.592047,-0.659112,4.448611,0.457205,-0.145774,5.849594,0.373903,-0.580262,4.084462,1.359709,-0.440468,
-3.839289,-0.944907,-0.576647,-3.509869,0.398223,-0.162170,-4.559012,1.399967,-0.334203,-3.177221,0.384390,0.799301,
-3.909836,0.423482,-0.364916,-3.934477,-0.958980,0.096759,-5.252835,-1.599948,0.219152,-3.365468,-1.528258,-0.523594,
3.547002,0.825350,0.705793,3.905889,-0.533221,1.056426,4.981160,-1.256295,0.377094,3.086967,-1.120293,1.172566,
3.701662,0.674255,0.282422,3.995522,-0.249001,-0.800634,4.509688,-1.575598,-0.430372,4.661384,0.187804,-1.434708,
-3.923724,-0.512575,-0.051982,-3.323144,0.597820,-0.766441,-2.938094,1.787172,0.001396,-2.515387,0.253107,-1.277027,
3.725661,0.249765,-1.037957,5.086670,-0.094671,-0.665265,5.621195,0.539953,0.542838,5.122206,-1.105488,-0.551472,
3.320318,0.094839,-0.191114,4.756523,0.285976,-0.108268,5.521074,-0.850122,0.404705,5.123586,0.547585,-1.022313,
3.571933,0.373372,-0.342956,2.993751,-0.963131,-0.342575,3.889124,-2.082607,-0.008725,2.589704,-1.140185,-1.260085,
-3.422335,-0.895045,0.339477,-4.648085,-0.822807,-0.438176,-5.700539,0.043273,0.093504,-5.021629,-1.753527,-0.598975,
-3.470557,-0.463640,0.946170,-3.554840,0.981639,0.997482,-4.576138,1.729698,0.263633,-2.642950,1.414133,0.895993,
2.937591,-0.392953,-0.718111,3.353853,0.997331,-0.671730,4.574021,1.315732,0.079667,3.451419,1.351677,-1.620641,
-3.689708,-0.340917,0.174333,-3.680754,0.691288,-0.848928,-3.902198,2.075470,-0.406044,-4.380859,0.463824,-1.552085,
3.064299,-0.479870,0.803823,3.982715,0.634048,0.891656,5.257607,0.622760,0.184906,3.541189,1.544857,0.933691,
-3.198402,-1.301800,-0.437646,-4.298940,-0.397753,-0.767431,-5.524566,-0.524308,0.032710,-4.545796,-0.528267,-1.742698,
-3.881199,-0.756644,-0.587986,-4.265919,0.349274,0.260501,-4.171380,1.724204,-0.215254,-3.949183,0.254804,1.219846,
3.818880,-0.520679,0.866751,4.222985,0.620493,0.068610,3.669320,1.934035,0.361207,4.255794,0.405081,-0.921729,
2.917849,0.460937,0.843658,3.695779,-0.320814,-0.106171,4.521064,-1.372530,0.498822,3.038740,-0.762339,-0.746470,
3.732017,-0.572963,0.827135,4.475086,-0.036953,-0.321422,4.459747,1.420889,-0.534868,5.444839,-0.328470,-0.241754,
-3.028312,-0.126744,0.686728,-3.837757,0.145072,-0.492396,-4.820808,1.232833,-0.385491,-3.203059,0.361199,-1.257963,
2.784781,0.822188,-0.541499,3.950063,-0.013952,-0.773723,5.199099,0.365042,-0.104692,4.119264,-0.102662,-1.771996,
-3.574235,-0.092714,-0.375050,-4.765436,-0.239007,0.442728,-5.885338,0.664384,0.154187,-5.095368,-1.199264,0.373658,
-4.220252,-0.919028,0.470078,-4.927444,0.244574,-0.017503,-4.344350,1.578900,0.123424,-5.279987,0.096868,-0.958185,
