D88,D27,D14,D33,D36,D45,D57,D63,D54
176.1178,92.0398,-0.4139,85.7687,-176.1896,70.2619,-171.4004,76.9241,-50.0206
-172.3042,85.8992,-179.4895,178.3184,-66.9461,-61.5062,-171.3156,166.4966,-169.7711
-173.4503,87.1482,-158.6378,-98.247,-158.6936,-170.5414,164.7396,161.78,155.4651
175.5868,92.024,-0.9259,85.7054,-175.8256,70.2769,-163.4759,173.8779,-50.2963
-174.5501,-92.5788,-2.3207,-175.3077,178.9773,-49.5722,-86.3463,165.9869,-45.9216
-175.016,-92.4857,1.1104,177.8038,53.6658,-163.5172,-104.04,67.7814,156.779
173.5563,-86.2309,-177.9685,178.2452,69.4936,63.8711,-164.5262,173.3239,47.1883
-179.6026,86.7065,178.492,-177.7968,-167.353,-163.3492,-104.9538,67.8707,157.814
173.9906,92.5156,-1.2179,-177.9181,177.9358,62.4864,-171.099,-55.9681,-49.0761
173.0567,-86.0203,-178.8728,177.9503,-67.575,-61.4556,-171.685,166.6978,-170.4835
179.4511,86.7899,178.3218,-177.3817,-167.2787,-167.476,-88.3247,163.4612,155.2938
179.6626,-91.4089,-1.86,86.2958,-176.3546,70.2774,-163.1556,173.8084,-48.8236
179.1995,92.0132,-0.7021,-177.4048,-166.7986,-170.0263,162.2175,-70.4092,156.3061
-173.9101,-92.4973,1.6354,178.6408,69.7348,63.9168,-163.9664,173.3059,47.6855
