D88,D27,D14,D33,D36,D45,D57,D63,D54
172.7158,-85.7874,179.745,-178.5778,-59.8173,-75.1606,109.2628,72.009,85.8598
-175.4294,86.1351,-178.9406,177.4877,53.0716,-168.6584,-88.035,163.6353,155.3432
-175.2431,-92.3717,1.2944,177.0379,65.5868,-178.5443,-76.8032,160.4021,50.9701
172.2033,-85.805,-179.8588,-179.8783,-63.499,-160.2789,-103.3011,-65.4091,155.1297
-175.632,-92.4632,-1.0006,-179.5594,-65.3127,177.4148,174.0478,72.6623,-81.0674
-171.8496,85.5381,178.0009,-176.8274,-59.4975,-75.1588,109.2816,71.9534,85.8281
-176.0532,86.4612,177.3262,86.2766,171.795,-57.8582,178.0722,63.8652,-40.406
178.5936,92.2556,0.5718,179.402,-65.348,177.3601,174.2125,72.8313,-81.1254
172.7176,92.8549,-0.4703,-178.5782,-59.8175,-75.1607,109.2631,72.009,85.8597
174.5771,-86.0708,-177.5407,175.786,66.5269,175.9802,172.4962,-61.4084,50.3733
-172.2423,85.6937,178.8621,-177.6797,-60.6752,-74.0706,-153.6249,-56.3402,90.7232
177.4631,92.2728,2.4958,176.4124,65.5002,-178.4574,-76.6869,160.5257,50.4302
172.7188,-85.7841,179.7611,-178.5887,-59.8257,-75.1548,109.2825,72.0102,85.8426
172.1858,92.8516,0.0373,-179.8667,-63.4978,-160.2883,-103.3084,-65.4044,155.1417
-172.2206,85.6093,179.0777,-179.0707,-63.2016,-160.6194,-103.5723,-65.4899,155.6815
171.8158,92.9453,3.1953,175.8771,53.3214,-84.2225,-161.6346,-57.111,98.6303
174.7395,92.6816,1.9968,177.4656,52.9308,-168.8788,-88.0319,163.6916,155.5537
-172.6779,-92.8078,1.5553,176.6494,66.6648,175.9215,172.435,-61.4306,50.8751
-175.4138,-92.3791,1.2875,177.487,53.0722,-168.6579,-88.0336,163.6364,155.3423
-172.2382,85.7031,178.8635,-177.6844,-60.6795,-74.0775,-153.6159,-56.353,90.7252
177.452,91.8842,-1.2962,85.9392,172.2629,-57.7721,177.8804,63.7879,-41.9928
-175.0602,87.0055,-153.1478,-109.0981,-178.3491,175.8432,170.6302,71.8638,-68.2918
-172.1921,-93.0852,-0.8527,-179.0714,-63.2078,-160.6358,-103.5805,-65.4812,155.7093
-171.7933,-92.2418,-3.7963,87.1488,174.7523,176.1554,179.8416,170.605,-50.9304
174.5761,92.6545,2.6499,175.7859,66.527,175.9802,172.4965,-61.4084,50.3732
-171.8646,85.5271,178.0093,-176.8341,-59.5078,-75.1654,109.2777,71.9629,85.8257
-174.2233,87.3428,-152.8669,-112.7632,175.8981,-61.0805,174.9755,63.1805,-54.908
171.7801,-87.5146,-157.5846,-99.5027,-160.5589,-170.4546,164.7001,161.7715,155.1753
-175.6341,-92.4619,-1.0002,-179.5596,-65.3126,177.4147,174.0477,72.6621,-81.0674
-174.2464,-91.576,29.6518,-112.7612,175.9073,-61.0764,174.98,63.1688,-54.9238
176.2288,92.5565,-3.0874,86.7117,174.8607,176.0599,179.5604,170.4922,-52.7738
-171.8434,85.5331,178.0082,-176.833,-59.5059,-75.1626,109.277,71.9565,85.8326
179.3018,-86.5013,179.6745,-177.5135,-167.0016,-167.4218,-88.3212,163.4444,155.3102
171.8452,-85.8951,-176.9789,175.9119,53.3302,-84.217,-161.6471,-57.0859,98.6381
178.5318,92.2836,0.5497,179.4213,-65.3449,177.3637,174.2007,72.8364,-81.1204
